file	batch
ENCFF999EQP_ENCFF748HQW.Aligned.sortedByCoord.out.bed	19
ENCFF115SUG_ENCFF796BDQ.Aligned.sortedByCoord.out.bed	18
ENCFF981ZFE_ENCFF417GGR.Aligned.sortedByCoord.out.bed	18
ENCFF170IXA_ENCFF140KLQ.Aligned.sortedByCoord.out.bed	17
ENCFF332DGA_ENCFF831XZB.Aligned.sortedByCoord.out.bed	17
ENCFF973YEI_ENCFF436PEC.Aligned.sortedByCoord.out.bed	4
ENCFF625CED_ENCFF465VVH.Aligned.sortedByCoord.out.bed	4
ENCFF933ZOW_ENCFF405HHD.Aligned.sortedByCoord.out.bed	2
ENCFF023HON_ENCFF677WPO.Aligned.sortedByCoord.out.bed	2
ENCFF305UXK_ENCFF676QUJ.Aligned.sortedByCoord.out.bed	4
ENCFF805EIS_ENCFF517HJT.Aligned.sortedByCoord.out.bed	4
ENCFF117AAD_ENCFF329JVE.Aligned.sortedByCoord.out.bed	15
ENCFF875FEV_ENCFF366POV.Aligned.sortedByCoord.out.bed	15
ENCFF525VQG_ENCFF013GFT.Aligned.sortedByCoord.out.bed	17
ENCFF985LPX_ENCFF895OPR.Aligned.sortedByCoord.out.bed	17
ENCFF302JIG_ENCFF720ZOZ.Aligned.sortedByCoord.out.bed	15
ENCFF832ZXH_ENCFF083ILN.Aligned.sortedByCoord.out.bed	15
ENCFF235JMU_ENCFF252FBR.Aligned.sortedByCoord.out.bed	4
ENCFF946PNM_ENCFF277CAQ.Aligned.sortedByCoord.out.bed	4
ENCFF597ZJB_ENCFF539URZ.Aligned.sortedByCoord.out.bed	15
ENCFF450EYQ_ENCFF153KJC.Aligned.sortedByCoord.out.bed	15
ENCFF710DRC_ENCFF272CQB.Aligned.sortedByCoord.out.bed	17
ENCFF443NYA_ENCFF461TYE.Aligned.sortedByCoord.out.bed	17
ENCFF474TNL_ENCFF236VNZ.Aligned.sortedByCoord.out.bed	1
ENCFF772HHV_ENCFF731HPX.Aligned.sortedByCoord.out.bed	1
ENCFF634ZST_ENCFF062JOZ.Aligned.sortedByCoord.out.bed	17
