file	batch
ENCFF281GKZ_ENCFF826MUD.Aligned.sortedByCoord.out.bed	21
ENCFF358XGE_ENCFF928RWG.Aligned.sortedByCoord.out.bed	21
ENCFF216XSN_ENCFF056CJO.Aligned.sortedByCoord.out.bed	23
ENCFF609BMN_ENCFF813VOG.Aligned.sortedByCoord.out.bed	23
ENCFF495VXI_ENCFF695STL.Aligned.sortedByCoord.out.bed	16
ENCFF094WZU_ENCFF434WFA.Aligned.sortedByCoord.out.bed	16
ENCFF122FQG_ENCFF981BLK.Aligned.sortedByCoord.out.bed	6
ENCFF356IIN_ENCFF201CLY.Aligned.sortedByCoord.out.bed	6
ENCFF614MDJ_ENCFF944FBA.Aligned.sortedByCoord.out.bed	23
ENCFF144GGZ_ENCFF739QTJ.Aligned.sortedByCoord.out.bed	23
ENCFF523KYJ_ENCFF313FOH.Aligned.sortedByCoord.out.bed	21
ENCFF766PEB_ENCFF128FTL.Aligned.sortedByCoord.out.bed	21
ENCFF808UZU_ENCFF307NOS.Aligned.sortedByCoord.out.bed	23
ENCFF599WMX_ENCFF670SQS.Aligned.sortedByCoord.out.bed	23
ENCFF979PPY_ENCFF600DCI.Aligned.sortedByCoord.out.bed	7
ENCFF926NOE_ENCFF399EUB.Aligned.sortedByCoord.out.bed	7
ENCFF896PNO_ENCFF330UXF.Aligned.sortedByCoord.out.bed	13
ENCFF697QSK_ENCFF962ZNH.Aligned.sortedByCoord.out.bed	13
ENCFF942ELT_ENCFF209LFW.Aligned.sortedByCoord.out.bed	18
ENCFF515OEI_ENCFF662EPC.Aligned.sortedByCoord.out.bed	18
ENCFF635DCP_ENCFF870KIO.Aligned.sortedByCoord.out.bed	23
ENCFF604PZN_ENCFF557IUI.Aligned.sortedByCoord.out.bed	23
ENCFF801TRT_ENCFF686WWE.Aligned.sortedByCoord.out.bed	14
ENCFF858NBJ_ENCFF397MRU.Aligned.sortedByCoord.out.bed	14
ENCFF691HLO_ENCFF084DHZ.Aligned.sortedByCoord.out.bed	6
ENCFF036XQB_ENCFF756OXT.Aligned.sortedByCoord.out.bed	6
ENCFF702UDY_ENCFF689XVP.Aligned.sortedByCoord.out.bed	13
ENCFF909SSA_ENCFF730GDK.Aligned.sortedByCoord.out.bed	13
ENCFF883DXE_ENCFF642NRZ.Aligned.sortedByCoord.out.bed	13
ENCFF769NCC_ENCFF517NIP.Aligned.sortedByCoord.out.bed	13
ENCFF266JFP_ENCFF704AON.Aligned.sortedByCoord.out.bed	13
ENCFF773GOI_ENCFF994OSE.Aligned.sortedByCoord.out.bed	13
ENCFF526HRE_ENCFF593ERZ.Aligned.sortedByCoord.out.bed	18
ENCFF686HPW_ENCFF738RTQ.Aligned.sortedByCoord.out.bed	18
ENCFF196NMR_ENCFF726OXN.Aligned.sortedByCoord.out.bed	23
ENCFF272QWU_ENCFF253QAQ.Aligned.sortedByCoord.out.bed	23
ENCFF998CGM_ENCFF399PPE.Aligned.sortedByCoord.out.bed	18
ENCFF307IXW_ENCFF268LME.Aligned.sortedByCoord.out.bed	18
ENCFF749LAP_ENCFF623ISQ.Aligned.sortedByCoord.out.bed	15
ENCFF855LFN_ENCFF391CEI.Aligned.sortedByCoord.out.bed	15
ENCFF961CLP_ENCFF461GAS.Aligned.sortedByCoord.out.bed	20
ENCFF424TEQ_ENCFF968UER.Aligned.sortedByCoord.out.bed	20
ENCFF670FLG_ENCFF927LZT.Aligned.sortedByCoord.out.bed	22
ENCFF387OIP_ENCFF864OJU.Aligned.sortedByCoord.out.bed	22
ENCFF291SQT_ENCFF225QRN.Aligned.sortedByCoord.out.bed	9
ENCFF135KIN_ENCFF426CCB.Aligned.sortedByCoord.out.bed	9
ENCFF518YAD_ENCFF454XED.Aligned.sortedByCoord.out.bed	20
ENCFF306CGQ_ENCFF309BTW.Aligned.sortedByCoord.out.bed	20
ENCFF516OTK_ENCFF019NHF.Aligned.sortedByCoord.out.bed	20
ENCFF384YZT_ENCFF979ZNO.Aligned.sortedByCoord.out.bed	21
