file	batch
ENCFF002BUK_ENCFF002BYN.Aligned.sortedByCoord.out.bed	2
ENCFF002BYR_ENCFF002BYS.Aligned.sortedByCoord.out.bed	2
ENCFF002CAP_ENCFF002CAQ.Aligned.sortedByCoord.out.bed	5
ENCFF002CAR_ENCFF002CAS.Aligned.sortedByCoord.out.bed	5
ENCFF191JPS_ENCFF964YSU.Aligned.sortedByCoord.out.bed	16
ENCFF903WCH_ENCFF539KOW.Aligned.sortedByCoord.out.bed	16
ENCFF897YVB_ENCFF032KCT.Aligned.sortedByCoord.out.bed	27
ENCFF668SGZ_ENCFF245QUE.Aligned.sortedByCoord.out.bed	27
ENCFF001ZGD_ENCFF001ZGI.Aligned.sortedByCoord.out.bed	1
ENCFF001ZGF_ENCFF001ZGJ.Aligned.sortedByCoord.out.bed	1
ENCFF740MTB_ENCFF533LSQ.Aligned.sortedByCoord.out.bed	8
ENCFF806SKJ_ENCFF489FRK.Aligned.sortedByCoord.out.bed	8
ENCFF611QCD_ENCFF538LDO.Aligned.sortedByCoord.out.bed	29
ENCFF669ILF_ENCFF259NBN.Aligned.sortedByCoord.out.bed	29
ENCFF309THL_ENCFF996JYA.Aligned.sortedByCoord.out.bed	27
ENCFF694AFX_ENCFF159YAB.Aligned.sortedByCoord.out.bed	27
ENCFF647VRD_ENCFF845KED.Aligned.sortedByCoord.out.bed	27
ENCFF228TQK_ENCFF773CAF.Aligned.sortedByCoord.out.bed	27
ENCFF670ZRN_ENCFF049UBT.Aligned.sortedByCoord.out.bed	29
ENCFF365IMS_ENCFF725MSZ.Aligned.sortedByCoord.out.bed	29
ENCFF824FES_ENCFF439RFC.Aligned.sortedByCoord.out.bed	8
ENCFF540OGR_ENCFF745IWF.Aligned.sortedByCoord.out.bed	8
ENCFF485RQH_ENCFF710KDJ.Aligned.sortedByCoord.out.bed	27
ENCFF894ZLI_ENCFF578LVR.Aligned.sortedByCoord.out.bed	27
ENCFF062MDL_ENCFF297WKY.Aligned.sortedByCoord.out.bed	29
ENCFF336OBP_ENCFF014RYG.Aligned.sortedByCoord.out.bed	29
ENCFF130KYO_ENCFF201IXD.Aligned.sortedByCoord.out.bed	27
ENCFF851STY_ENCFF896WXL.Aligned.sortedByCoord.out.bed	27
ENCFF524MXJ_ENCFF262KLE.Aligned.sortedByCoord.out.bed	29
ENCFF457DTV_ENCFF708OQJ.Aligned.sortedByCoord.out.bed	29
ENCFF756UPV_ENCFF337CYW.Aligned.sortedByCoord.out.bed	29
ENCFF866JYH_ENCFF404HHT.Aligned.sortedByCoord.out.bed	29
ENCFF944JKZ_ENCFF815OVM.Aligned.sortedByCoord.out.bed	16
ENCFF930IBV_ENCFF834VEC.Aligned.sortedByCoord.out.bed	16
ENCFF056UJT_ENCFF360ZPG.Aligned.sortedByCoord.out.bed	28
ENCFF601DMJ_ENCFF317XFU.Aligned.sortedByCoord.out.bed	28
ENCFF941JGA_ENCFF617SWH.Aligned.sortedByCoord.out.bed	13
ENCFF351NXZ_ENCFF648XTO.Aligned.sortedByCoord.out.bed	13
ENCFF673ANB_ENCFF968JSN.Aligned.sortedByCoord.out.bed	20
ENCFF141GMF_ENCFF380NPY.Aligned.sortedByCoord.out.bed	20
ENCFF704QKX_ENCFF016KWX.Aligned.sortedByCoord.out.bed	24
ENCFF760WLL_ENCFF037JSE.Aligned.sortedByCoord.out.bed	24
ENCFF729NUH_ENCFF146LZR.Aligned.sortedByCoord.out.bed	24
ENCFF178NRT_ENCFF397OVD.Aligned.sortedByCoord.out.bed	24
ENCFF652FFP_ENCFF177ACE.Aligned.sortedByCoord.out.bed	28
ENCFF483XPE_ENCFF679KIM.Aligned.sortedByCoord.out.bed	28
ENCFF167BIH_ENCFF734JOA.Aligned.sortedByCoord.out.bed	23
ENCFF026KAZ_ENCFF831SXK.Aligned.sortedByCoord.out.bed	23
ENCFF430FYR_ENCFF733UKJ.Aligned.sortedByCoord.out.bed	8
ENCFF332WAY_ENCFF208GLL.Aligned.sortedByCoord.out.bed	8
ENCFF224QTF_ENCFF119BHJ.Aligned.sortedByCoord.out.bed	27
ENCFF216IIG_ENCFF853BIA.Aligned.sortedByCoord.out.bed	27
ENCFF305MOO_ENCFF229CHG.Aligned.sortedByCoord.out.bed	27
ENCFF940CVA_ENCFF994CYS.Aligned.sortedByCoord.out.bed	27
ENCFF824PIA_ENCFF375JQN.Aligned.sortedByCoord.out.bed	27
ENCFF923XEM_ENCFF836BRY.Aligned.sortedByCoord.out.bed	27
ENCFF883YAT_ENCFF680PND.Aligned.sortedByCoord.out.bed	27
ENCFF889JXP_ENCFF152PWD.Aligned.sortedByCoord.out.bed	27
ENCFF964WBP_ENCFF068MEE.Aligned.sortedByCoord.out.bed	8
ENCFF732WIF_ENCFF632NRD.Aligned.sortedByCoord.out.bed	8
ENCFF698IDD_ENCFF489FFV.Aligned.sortedByCoord.out.bed	21
ENCFF235UVM_ENCFF061CJM.Aligned.sortedByCoord.out.bed	21
ENCFF404SZI_ENCFF582UDO.Aligned.sortedByCoord.out.bed	21
ENCFF594HCT_ENCFF937SOU.Aligned.sortedByCoord.out.bed	21
ENCFF002CAT_ENCFF002CAU.Aligned.sortedByCoord.out.bed	5
ENCFF002CAV_ENCFF002CAW.Aligned.sortedByCoord.out.bed	5
ENCFF602LJG_ENCFF415IGR.Aligned.sortedByCoord.out.bed	30
ENCFF085OOT_ENCFF218FTU.Aligned.sortedByCoord.out.bed	30
ENCFF988DMQ_ENCFF990RVT.Aligned.sortedByCoord.out.bed	8
ENCFF948JBB_ENCFF787GPF.Aligned.sortedByCoord.out.bed	8
ENCFF002BZZ_ENCFF002CAA.Aligned.sortedByCoord.out.bed	4
ENCFF002CAB_ENCFF002CAC.Aligned.sortedByCoord.out.bed	4
ENCFF753WMF_ENCFF521YJN.Aligned.sortedByCoord.out.bed	30
ENCFF259SCX_ENCFF650VKT.Aligned.sortedByCoord.out.bed	30
ENCFF759NEY_ENCFF725QET.Aligned.sortedByCoord.out.bed	30
ENCFF086SKR_ENCFF895VRY.Aligned.sortedByCoord.out.bed	30
ENCFF994PGX_ENCFF122UFL.Aligned.sortedByCoord.out.bed	36
ENCFF519RFX_ENCFF654RRJ.Aligned.sortedByCoord.out.bed	36
ENCFF471KTZ_ENCFF897YAS.Aligned.sortedByCoord.out.bed	28
ENCFF097IXL_ENCFF678IOI.Aligned.sortedByCoord.out.bed	28
ENCFF138BDU_ENCFF690FNB.Aligned.sortedByCoord.out.bed	16
ENCFF971KXV_ENCFF089BZM.Aligned.sortedByCoord.out.bed	16
ENCFF436WGB_ENCFF647VHF.Aligned.sortedByCoord.out.bed	13
ENCFF538UQD_ENCFF693GDP.Aligned.sortedByCoord.out.bed	13
ENCFF120CRT_ENCFF487YJM.Aligned.sortedByCoord.out.bed	13
ENCFF687EKG_ENCFF150JSF.Aligned.sortedByCoord.out.bed	13
ENCFF911IEH_ENCFF779BON.Aligned.sortedByCoord.out.bed	10
ENCFF135JOS_ENCFF071MNZ.Aligned.sortedByCoord.out.bed	10
ENCFF539DCY_ENCFF884LZZ.Aligned.sortedByCoord.out.bed	23
ENCFF597YDI_ENCFF474QQW.Aligned.sortedByCoord.out.bed	23
ENCFF002CAD_ENCFF002CAE.Aligned.sortedByCoord.out.bed	4
ENCFF002CAF_ENCFF002CAG.Aligned.sortedByCoord.out.bed	4
ENCFF232RVX_ENCFF238SIB.Aligned.sortedByCoord.out.bed	24
ENCFF541QLM_ENCFF791QXP.Aligned.sortedByCoord.out.bed	24
ENCFF273RUL_ENCFF360LCP.Aligned.sortedByCoord.out.bed	36
ENCFF463IGP_ENCFF007AYD.Aligned.sortedByCoord.out.bed	36
ENCFF181JWY_ENCFF616RVM.Aligned.sortedByCoord.out.bed	12
ENCFF727UXZ_ENCFF182DFD.Aligned.sortedByCoord.out.bed	12
ENCFF507CET_ENCFF046XSC.Aligned.sortedByCoord.out.bed	19
ENCFF676PVW_ENCFF511CQD.Aligned.sortedByCoord.out.bed	19
ENCFF592DKQ_ENCFF289PQM.Aligned.sortedByCoord.out.bed	23
ENCFF238RQR_ENCFF311WNG.Aligned.sortedByCoord.out.bed	23
ENCFF661CVY_ENCFF914DSS.Aligned.sortedByCoord.out.bed	23
ENCFF647LIH_ENCFF839KNW.Aligned.sortedByCoord.out.bed	23
ENCFF219ZRK_ENCFF121WQZ.Aligned.sortedByCoord.out.bed	24
ENCFF602UZH_ENCFF161IPL.Aligned.sortedByCoord.out.bed	24
ENCFF101BYW_ENCFF960DSZ.Aligned.sortedByCoord.out.bed	28
ENCFF959DSF_ENCFF672NPU.Aligned.sortedByCoord.out.bed	28
ENCFF545JBO_ENCFF477ZWR.Aligned.sortedByCoord.out.bed	12
ENCFF665YRR_ENCFF238WHQ.Aligned.sortedByCoord.out.bed	12
